date,product_id,customer,quantity,unit_price,payment_received
2018-01-01,124,Ernest,5,1.51,10
2018-01-02,118,Stephen,10,1.94,21
2018-01-03,120,Brent,9,1.24,13
2018-01-04,122,Shirley,9,1.97,20
2018-01-05,125,John,11,1.29,16
2018-01-06,122,Jose,11,1.19,15
2018-01-07,124,Maggie,18,1.74,33
2018-01-08,121,Joel,14,1,16
2018-01-09,124,Eva,7,1.73,14
2018-01-10,120,Traci,3,1.04,5
2018-01-11,121,Kathleen,7,1.11,10
2018-01-12,125,Mike,2,1.75,5
2018-01-13,115,Sam,20,1.77,37
2018-01-14,122,Marvin,12,1.34,18
2018-01-15,116,Mark,4,1.07,6
2018-01-16,124,Damien,5,1.56,10
2018-01-17,123,Michael,2,1.4,5
2018-01-18,118,Solomon,4,1.15,7
2018-01-19,115,Sandra,5,1.6,10
2018-01-20,124,Emily,13,1.05,16
2018-01-21,115,Cheryl,14,1.15,18
2018-01-22,124,Terri,12,1.36,18
2018-01-23,121,Luz,7,1.85,15
2018-01-24,116,Heather,9,1.36,14
2018-01-25,125,Brittany,2,1.75,5
2018-01-26,122,Tim,14,1.4,22
2018-01-27,115,Kathryn,15,1.81,29
2018-01-28,122,Robert,16,1.67,29
2018-01-29,122,Lisa,7,1.44,12
2018-01-30,123,Harry,7,1.47,12
2018-01-31,118,James,19,1.83,37
2018-02-01,125,Larry,19,1.99,40
2018-02-02,122,Norman,16,1.23,22
2018-02-03,120,Paul,9,1.64,17
2018-02-04,115,Susan,6,1.73,12
2018-02-05,124,Dennis,7,1.09,10
2018-02-06,116,Carrie,14,1.94,29
2018-02-07,115,John,15,1.03,17
2018-02-08,120,Anita,3,1.63,7
2018-02-09,115,Minnie,15,1.11,19
2018-02-10,118,Rita,3,1.97,8
2018-02-11,120,Wayne,18,1.89,36
2018-02-12,121,Johnnie,7,1.7,14
2018-02-13,119,Sally,8,1.27,12
2018-02-14,115,Joanne,3,1.43,6
2018-02-15,119,Justin,7,1.65,14
2018-02-16,117,William,5,1.53,10
2018-02-17,117,Myrtle,17,1.36,25
2018-02-18,115,Bianca,19,1.1,23
2018-02-19,124,Natasha,2,1.11,4
2018-02-20,116,Shane,12,1.47,20
2018-02-21,122,Danny,2,1.58,5
2018-02-22,117,Cordell,6,1.33,10
2018-02-23,116,Dwayne,2,1.5,5
2018-02-24,123,Bernard,5,1.47,9
2018-02-25,122,Ralph,5,1.57,10
2018-02-26,120,Kenneth,19,1.01,21
2018-02-27,123,Anna,1,1.87,4
2018-02-28,118,David,19,1.97,40
2018-03-01,117,Kirk,20,1.04,23
2018-03-02,119,Scott,5,1.78,11
2018-03-03,121,Paige,20,1.31,28
2018-03-04,118,Beatrice,19,1.04,22
2018-03-05,120,Peggy,15,1.57,26
2018-03-06,119,Valerie,10,1.9,21
2018-03-07,123,Mable,7,1.44,12
2018-03-08,118,Terrance,15,1.98,32
2018-03-09,120,Geraldine,2,1.35,5
2018-03-10,122,Brian,3,1.22,6
2018-03-11,120,Cynthia,15,1.21,20
2018-03-12,120,Ethel,14,1.59,24
2018-03-13,122,Sallie,14,1.8,27
2018-03-14,116,Charlotte,12,1.16,16
2018-03-15,123,Willis,5,1.98,12
2018-03-16,115,Joshua,2,1.5,5
2018-03-17,121,Norbert,11,1.63,20
2018-03-18,120,Wayne,13,1.69,24
2018-03-19,121,Eugene,11,1.8,22
2018-03-20,122,Tonya,19,1.63,33
2018-03-21,124,Maria,17,1.73,31
2018-03-22,120,Melissa,2,1.8,6
2018-03-23,120,Jimmy,1,1.75,4
2018-03-24,115,Marc,8,1.02,10
2018-03-25,125,Leonard,17,1.41,26
2018-03-26,117,Matthew,6,1.5,11
2018-03-27,124,George,1,1.34,3
2018-03-28,120,Steven,15,1.43,23
2018-03-29,116,Jana,14,1.81,27
2018-03-30,117,Maria,14,1.51,23
2018-03-31,123,Shirley,20,1.26,27
2018-04-01,124,Guadalupe,15,1.85,30
2018-04-02,118,Robert,17,1.72,31
2018-04-03,116,William,3,1.63,7
2018-04-04,117,Vennie,8,1.41,13
2018-04-05,125,Brian,7,1.24,11
2018-04-06,119,Holly,5,1.75,11
2018-04-07,115,Jessica,16,1.42,25
2018-04-08,125,Patricia,13,1.57,22
2018-04-09,119,Julia,11,1.9,23
2018-04-10,119,Kelly,2,1.45,5
2018-04-11,125,Ilse,18,1.67,32
2018-04-12,124,Roger,5,1.14,8
2018-04-13,125,Mario,11,1.94,23
2018-04-14,125,Paul,18,1.34,26
2018-04-15,119,Chris,15,1.95,31
2018-04-16,122,Mark,6,1.59,12
2018-04-17,122,Lauri,12,1.61,21
2018-04-18,119,Katherine,14,1.91,29
2018-04-19,121,Catherine,18,1.91,36
2018-04-20,123,Bernice,11,1.74,21
2018-04-21,121,William,8,1.6,15
2018-04-22,120,Vincent,6,1.51,11
2018-04-23,119,Bradley,10,1,12
2018-04-24,117,Joshua,14,1.69,26
2018-04-25,116,Michael,18,1.95,37
2018-04-26,125,Jessica,19,1.4,29
2018-04-27,125,John,2,1.7,5
2018-04-28,123,Justin,6,1.56,11
